"file_name","frame","key","finger","is_correct","fingertips_detected","keyboard_detection_time","finger_classification_time","total_time"
"fast-02","47","LeftShift","LEFT_PINKY","True","LEFT_PINKY","1.636186122894287","0.10471224784851074","1.7408983707427979"
"fast-02","55","I","RIGHT_MIDDLE","False","","1.636186122894287","0.08394050598144531","1.7201266288757324"
"fast-02","60","Spacebar","RIGHT_THUMB","True","RIGHT_THUMB,LEFT_THUMB","1.636186122894287","0.095458984375","1.731645107269287"
"fast-02","61","S","LEFT_RING","True","LEFT_RING","1.636186122894287","0.12048888206481934","1.7566750049591064"
"fast-02","64","A","LEFT_PINKY","True","LEFT_PINKY","1.636186122894287","0.10996484756469727","1.7461509704589844"
"fast-02","67","T","LEFT_INDEX","True","LEFT_INDEX","1.636186122894287","0.09552597999572754","1.7317121028900146"
"fast-02","71","Spacebar","RIGHT_THUMB","True","LEFT_THUMB,RIGHT_THUMB","1.636186122894287","0.10674500465393066","1.7429311275482178"
"fast-02","73","D","LEFT_INDEX","True","LEFT_INDEX,LEFT_MIDDLE","1.636186122894287","0.0944359302520752","1.7306220531463623"
"fast-02","75","O","RIGHT_RING","True","RIGHT_RING","1.636186122894287","0.09037446975708008","1.7265605926513672"
"fast-02","77","W","LEFT_RING","True","LEFT_RING","1.636186122894287","0.08338117599487305","1.7195672988891602"
"fast-02","80","N","RIGHT_INDEX","True","RIGHT_INDEX","1.636186122894287","0.12338757514953613","1.7595736980438232"
"fast-02","84","Spacebar","RIGHT_THUMB","True","RIGHT_THUMB","1.636186122894287","0.07545995712280273","1.7116460800170898"
"fast-02","86","O","RIGHT_RING","False","","1.636186122894287","0.11288237571716309","1.7490684986114502"
"fast-02","90","N","RIGHT_INDEX","True","RIGHT_INDEX","1.636186122894287","0.07533693313598633","1.7115230560302734"
"fast-02","95","Spacebar","RIGHT_THUMB","True","RIGHT_THUMB","1.636186122894287","0.08746504783630371","1.7236511707305908"
"fast-02","96","A","LEFT_PINKY","True","LEFT_PINKY","1.636186122894287","0.0738058090209961","1.7099919319152832"
"fast-02","99","N","RIGHT_INDEX","True","RIGHT_INDEX","1.636186122894287","0.08472228050231934","1.7209084033966064"
"fast-02","104","Spacebar","RIGHT_THUMB","True","RIGHT_THUMB","1.636186122894287","0.10348796844482422","1.7396740913391113"
"fast-02","106","O","RIGHT_RING","False","","1.636186122894287","0.08988237380981445","1.7260684967041016"
"fast-02","111","L","RIGHT_RING","True","RIGHT_RING","1.636186122894287","0.07714724540710449","1.7133333683013916"
"fast-02","117","D","LEFT_INDEX","True","LEFT_INDEX","1.636186122894287","0.0971214771270752","1.7333076000213623"
"fast-02","122","Spacebar","RIGHT_THUMB","True","RIGHT_THUMB","1.636186122894287","0.10132765769958496","1.737513780593872"
"fast-02","130","W","LEFT_RING","True","LEFT_RING","1.636186122894287","0.12288784980773926","1.7590739727020264"
"fast-02","134","E","LEFT_MIDDLE","True","LEFT_MIDDLE","1.636186122894287","0.12049388885498047","1.7566800117492676"
"fast-02","143","Backspace","RIGHT_PINKY","False","","1.636186122894287","0.1287984848022461","1.7649846076965332"
"fast-02","149","O","RIGHT_MIDDLE","False","","1.636186122894287","0.09257698059082031","1.7287631034851074"
"fast-02","154","O","RIGHT_MIDDLE","False","","1.636186122894287","0.07460308074951172","1.7107892036437988"
"fast-02","158","D","LEFT_INDEX","True","LEFT_INDEX,LEFT_MIDDLE","1.636186122894287","0.08819174766540527","1.7243778705596924"
"fast-02","163","E","LEFT_MIDDLE","True","LEFT_MIDDLE","1.636186122894287","0.09553050994873047","1.7317166328430176"
"fast-02","166","N","RIGHT_INDEX","True","RIGHT_INDEX","1.636186122894287","0.08235859870910645","1.7185447216033936"
"fast-02","175","Spacebar","RIGHT_THUMB","True","LEFT_THUMB,RIGHT_THUMB","1.636186122894287","0.07069110870361328","1.7068772315979004"
"fast-02","179","S","LEFT_RING","True","LEFT_RING","1.636186122894287","0.09179973602294922","1.7279858589172363"
"fast-02","182","E","LEFT_MIDDLE","True","LEFT_MIDDLE","1.636186122894287","0.10733556747436523","1.7435216903686523"
"fast-02","187","T","LEFT_INDEX","True","LEFT_INDEX","1.636186122894287","0.09833121299743652","1.7345173358917236"
"fast-02","193","T","LEFT_INDEX","True","LEFT_INDEX","1.636186122894287","0.12357139587402344","1.7597575187683105"
"fast-02","198","L","RIGHT_RING","True","RIGHT_RING","1.636186122894287","0.11779284477233887","1.753978967666626"
"fast-02","205","E","LEFT_MIDDLE","True","LEFT_MIDDLE","1.636186122894287","0.10557079315185547","1.7417569160461426"
"fast-02","211",",","RIGHT_MIDDLE","True","RIGHT_MIDDLE","1.636186122894287","0.11145210266113281","1.74763822555542"
"fast-02","216","C","LEFT_INDEX","True","LEFT_INDEX","1.636186122894287","0.09425139427185059","1.7304375171661377"
"fast-02","220","A","LEFT_PINKY","True","LEFT_PINKY","1.636186122894287","0.0905449390411377","1.7267310619354248"
"fast-02","222","R","LEFT_INDEX","False","","1.636186122894287","0.09663558006286621","1.7328217029571533"
"fast-02","227","V","LEFT_INDEX","True","LEFT_INDEX","1.636186122894287","0.1034393310546875","1.7396254539489746"
"fast-02","231","E","LEFT_MIDDLE","False","","1.636186122894287","0.0861821174621582","1.7223682403564453"
"fast-02","236","D","LEFT_INDEX","True","LEFT_INDEX","1.636186122894287","0.08722233772277832","1.7234084606170654"
"fast-02","241","Spacebar","RIGHT_THUMB","True","RIGHT_THUMB","1.636186122894287","0.07671427726745605","1.7129004001617432"
